Rank,Team,Team Strength Score
1,Spain,90.7704367228083
2,France,89.30066227637924
3,Argentina,87.65922034564022
4,England,83.00619617230616
5,Germany,78.95947943089824
6,Morocco,77.36575282008438
7,Netherlands,75.51627628233108
8,Portugal,75.48741464705085
9,Brazil,70.91571714261268
10,Senegal,67.34486035478771
11,Belgium,67.32694953787775
12,Japan,64.35846508204236
13,Croatia,62.782893297836466
14,Mexico,61.513228459840086
15,Colombia,58.541658721291704
16,Algeria,55.74073504502206
17,Ecuador,54.648723705472754
18,Ivory Coast,53.043269145413674
19,South Korea,52.58036424332114
20,Iran,51.98484116472586
21,Switzerland,51.727029248007824
22,Uruguay,51.035357323936026
23,Turkey,50.321104251533626
24,Norway,50.02657329880486
25,Sweden,45.8763008008807
26,Czech Republic,45.659898056158575
27,United States,44.252178239271466
28,Australia,43.73880502744907
29,Austria,43.06352609010935
30,Paraguay,41.02198120121842
31,South Africa,40.900122063912285
32,Canada,40.57122589902476
33,DR Congo,37.01371346802997
34,Panama,36.55961661386219
35,Tunisia,36.175957988445795
36,Egypt,34.94874361775735
37,Uzbekistan,28.715123539092964
38,Scotland,26.61874866603803
39,Iraq,25.819005502921154
40,Bosnia and Herzegovina,24.524992292918025
41,Saudi Arabia,22.809589723539943
42,Ghana,19.962049916323895
43,Cape Verde,19.91548394172204
44,New Zealand,17.913797787378897
45,Haiti,17.13689260993814
46,Curaçao,17.035877762285352
47,Jordan,11.907842548313482
48,Qatar,10.295073281528955
